,url,malicious
1599,"127.0.0.1 - - [03/May/2021:03:14:23 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Design HTTP/1.1"" 200 1697 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
11951,"127.0.0.1 - - [03/May/2021:03:40:51 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<ins onbeforecopy=\""alert(1)\"""" 400 0 ""-"" ""-""",1
1758,"127.0.0.1 - - [03/May/2021:03:06:32 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=horse HTTP/1.1"" 200 1696 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
18398,"127.0.0.1 - - [03/May/2021:03:13:59 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Danielle HTTP/1.1"" 200 1700 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
7578,"127.0.0.1 - - [03/May/2021:03:40:25 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<base draggable=\""true\"""" 400 0 ""-"" ""-""",1
8083,"127.0.0.1 - - [03/May/2021:02:35:09 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<img src\\x32=x"" 400 0 ""-"" ""-""",1
9039,"127.0.0.1 - - [03/May/2021:03:41:40 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=feed:javascript:alert('Top Page"" 400 0 ""-"" ""-""",1
5097,"127.0.0.1 - - [03/May/2021:03:24:39 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Reese HTTP/1.1"" 200 1698 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
12530,"127.0.0.1 - - [03/May/2021:03:15:23 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Emery HTTP/1.1"" 200 1697 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
13941,"127.0.0.1 - - [03/May/2021:03:24:25 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Raine HTTP/1.1"" 200 1696 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
5395,"127.0.0.1 - - [03/May/2021:02:35:17 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<table><TD BACKGROUND=\""javascript:document.vulnerable=true;\"">"" 400 0 ""-"" ""-""",1
7509,"127.0.0.1 - - [03/May/2021:03:05:52 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=crida HTTP/1.1"" 200 1697 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
755,"127.0.0.1 - - [03/May/2021:03:04:59 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Provas HTTP/1.1"" 200 1698 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
5027,"127.0.0.1 - - [03/May/2021:03:06:50 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=kristine HTTP/1.1"" 200 1700 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
3540,"127.0.0.1 - - [03/May/2021:03:13:09 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Chok HTTP/1.1"" 200 1698 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
10283,"127.0.0.1 - - [03/May/2021:03:14:02 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Darry HTTP/1.1"" 200 1697 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
8881,"127.0.0.1 - - [03/May/2021:03:17:41 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Hq HTTP/1.1"" 200 1696 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
144,"127.0.0.1 - - [03/May/2021:03:19:27 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Kathye HTTP/1.1"" 200 1699 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
3848,"127.0.0.1 - - [03/May/2021:03:05:26 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=brandy HTTP/1.1"" 200 1699 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
13110,"127.0.0.1 - - [03/May/2021:03:40:36 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<dialog onmouseup=\""alert(1)\"">test</dialog>"" 400 0 ""-"" ""-""",1
13199,"127.0.0.1 - - [03/May/2021:03:14:16 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Deirdre HTTP/1.1"" 200 1699 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
10684,"127.0.0.1 - - [03/May/2021:03:08:24 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=unix HTTP/1.1"" 200 1697 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
11999,"127.0.0.1 - - [03/May/2021:03:41:15 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<style>:target {color:red;}</style><wbr"" 400 0 ""-"" ""-""",1
8775,"127.0.0.1 - - [03/May/2021:03:40:23 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<audio autoplay"" 400 0 ""-"" ""-""",1
4278,"127.0.0.1 - - [03/May/2021:03:28:37 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Yu-Kai HTTP/1.1"" 200 1700 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
15898,"127.0.0.1 - - [03/May/2021:03:20:08 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Latrena HTTP/1.1"" 200 1699 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
16098,"127.0.0.1 - - [03/May/2021:03:28:40 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Yukinobu HTTP/1.1"" 200 1701 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
3642,"127.0.0.1 - - [03/May/2021:03:22:13 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Melek HTTP/1.1"" 200 1697 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
10524,"127.0.0.1 - - [03/May/2021:03:18:31 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Jennette HTTP/1.1"" 200 1700 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
12268,"127.0.0.1 - - [03/May/2021:03:11:32 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Bao HTTP/1.1"" 200 1695 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
15737,"127.0.0.1 - - [03/May/2021:03:40:23 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<aside id=x"" 400 0 ""-"" ""-""",1
7195,"127.0.0.1 - - [03/May/2021:03:40:36 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<dir id=x"" 400 0 ""-"" ""-""",1
13324,"127.0.0.1 - - [03/May/2021:03:24:50 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Richardson HTTP/1.1"" 200 1699 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
1512,"127.0.0.1 - - [03/May/2021:03:13:09 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Chi HTTP/1.1"" 200 1697 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
8630,"127.0.0.1 - - [03/May/2021:03:40:53 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<kbd onmouseup=\""alert(1)\"">test</kbd>"" 400 0 ""-"" ""-""",1
13876,"127.0.0.1 - - [03/May/2021:03:40:25 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<basefont ondblclick=\""alert(1)\"">test</basefont>"" 400 0 ""-"" ""-""",1
1888,"127.0.0.1 - - [03/May/2021:03:18:13 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Jae HTTP/1.1"" 200 1697 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
11222,"127.0.0.1 - - [03/May/2021:03:11:49 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Beryl HTTP/1.1"" 200 1698 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
12756,"127.0.0.1 - - [03/May/2021:03:28:51 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Zoenka HTTP/1.1"" 200 1699 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
13697,"127.0.0.1 - - [03/May/2021:03:40:55 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<map onfocusout=alert(1)"" 400 0 ""-"" ""-""",1
15852,"127.0.0.1 - - [03/May/2021:03:05:15 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=articles HTTP/1.1"" 200 1698 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
9038,"127.0.0.1 - - [03/May/2021:03:16:40 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Ghislaine HTTP/1.1"" 200 1699 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
6157,"127.0.0.1 - - [03/May/2021:02:35:13 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=&lt;&lt;SCRIPT&gt;alert(&quot;XSS&quot;);//&lt;&lt;/SCRIPT&gt; HTTP/1.1"" 200 1685 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/?name=aaa"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
11963,"127.0.0.1 - - [03/May/2021:03:13:59 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Daniela HTTP/1.1"" 200 1698 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
18687,"127.0.0.1 - - [03/May/2021:03:40:53 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<label onfocusout=alert(1)"" 400 0 ""-"" ""-""",1
400,"127.0.0.1 - - [03/May/2021:03:10:10 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Ainslee HTTP/1.1"" 200 1699 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
12716,"127.0.0.1 - - [03/May/2021:03:40:30 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<center oncut=\""alert(1)\"""" 400 0 ""-"" ""-""",1
18009,"127.0.0.1 - - [03/May/2021:03:17:19 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Hartley HTTP/1.1"" 200 1698 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
10611,"127.0.0.1 - - [03/May/2021:02:35:11 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<LINK REL=\""stylesheet\"""" 400 0 ""-"" ""-""",1
16931,"127.0.0.1 - - [03/May/2021:03:41:25 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<summary onbeforecopy=\""alert(1)\"""" 400 0 ""-"" ""-""",1
12971,"127.0.0.1 - - [03/May/2021:03:14:38 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Domini HTTP/1.1"" 200 1699 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
14009,"127.0.0.1 - - [03/May/2021:03:40:28 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<body ondblclick=\""alert(1)\"">test</body>"" 400 0 ""-"" ""-""",1
11841,"127.0.0.1 - - [03/May/2021:02:34:47 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<html onmouseover"" 400 0 ""-"" ""-""",1
17213,"127.0.0.1 - - [03/May/2021:03:13:09 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Chloe HTTP/1.1"" 200 1698 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
5110,"127.0.0.1 - - [03/May/2021:03:06:46 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=judith HTTP/1.1"" 200 1699 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
18400,"127.0.0.1 - - [03/May/2021:03:41:21 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<style>@keyframes x{}</style><abbr"" 400 0 ""-"" ""-""",1
4761,"127.0.0.1 - - [03/May/2021:03:40:57 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<menu onmouseover=\""alert(1)\"">test</menu>"" 400 0 ""-"" ""-""",1
5942,"127.0.0.1 - - [03/May/2021:03:10:57 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Antonio HTTP/1.1"" 200 1698 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
12578,"127.0.0.1 - - [03/May/2021:03:40:51 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<img oncontextmenu=\""alert(1)\"">test</img>"" 400 0 ""-"" ""-""",1
6410,"127.0.0.1 - - [03/May/2021:03:28:51 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Zorah HTTP/1.1"" 200 1698 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
11679,"127.0.0.1 - - [03/May/2021:02:34:46 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<html onMouseWheel"" 400 0 ""-"" ""-""",1
2505,"127.0.0.1 - - [03/May/2021:03:27:04 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Teirtza HTTP/1.1"" 200 1700 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
10806,"127.0.0.1 - - [03/May/2021:02:35:11 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<IMG SRC=`javascript:alert(\""RSnake"" 400 0 ""-"" ""-""",1
4732,"127.0.0.1 - - [03/May/2021:03:12:29 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Caprice HTTP/1.1"" 200 1699 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
2674,"127.0.0.1 - - [03/May/2021:03:28:37 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Yongli HTTP/1.1"" 200 1699 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
7717,"127.0.0.1 - - [03/May/2021:03:41:25 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<sub draggable=\""true\"""" 400 0 ""-"" ""-""",1
13361,"127.0.0.1 - - [03/May/2021:03:11:49 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Betta HTTP/1.1"" 200 1697 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
6915,"127.0.0.1 - - [03/May/2021:03:14:42 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Donnajean HTTP/1.1"" 200 1699 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
5512,"127.0.0.1 - - [03/May/2021:03:18:27 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Jazmin HTTP/1.1"" 200 1699 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
9090,"127.0.0.1 - - [03/May/2021:03:11:01 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Arabella HTTP/1.1"" 200 1699 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
14300,"127.0.0.1 - - [03/May/2021:03:17:42 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Hsin-shi HTTP/1.1"" 200 1700 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
5165,"127.0.0.1 - - [03/May/2021:03:41:09 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<samp oncut=\""alert(1)\"""" 400 0 ""-"" ""-""",1
12453,"127.0.0.1 - - [03/May/2021:03:41:25 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<summary onbeforecut=\""alert(1)\"""" 400 0 ""-"" ""-""",1
